,text,rating,id,predicted_rating,difference
2764,"b""book place family visit ny thank joel anna lucy could enjoy city take great rest place lovely spacious 5 people guy best host great time house perfect us location great joel helpful.they n't lot kid utensils plastic etc bring perfect thank much ! wife three sons age 7 5 2 babysitter stay 5 nights wonderful apartment would great space adults 's also amaze space adults travel children owners child toy etc. boys thrill ! apartment super clean supply wonderful linens basics location great -- quiet enough close riverside park also close subway easy access essentially anywhere manhattan joel incredibly responsive any/all question trip generally could better host short ca n't say enough good things apartment would absolutely stay ! roomy clean apartment quiet street joel available responsive location good want easy access subway central park quiet safe neighborhood good restaurants groceries around.joel give us full information helpful almost everything description real.if would separate storage guests towel linens personal belong would cleaner clean cat necessary better clean would give 9 give 7.8 beautiful light sunny large 2 bed plus baby crib plus 2 bathrooms apartment lovely back yard set great neighbourhood kid stuff museums restaurants shop central park door step would love go back definitely recommend families couple ! joel great host helpful thank guy ! joel anna \xe2\x80\x99 home work well family within walk distance central park attractions also easy get transportation areas nyc""",92.0,16846366,94.1993,2.199299999999994
3599,"b""jillian excellent host whilst n't meet person check keep us update text email throughout trip apartment clean exactly describe amaze location load local amenities shop really walkable part nyc ! would recommend jillian studio anyone want stay soho/west village area ! great time jillian 's studio excellent location tidy studio friendly host thank pizza recommendation rubirosa best haden pip say enough good things jillian apartment jillian go way accommodate need take great care us apartment immaculate well appoint definitely stay jillian wonderful location easy get key highly recommend apartment ! jillian lovely host location amaze absolutely great time could n't recommend place ! fantastic location great neighborhood close metro spacious flat comfortable jillian accommodative host wonderful time stay felt like live coolest neighborhood new york la anfitriona muy amable el lugar perfectamente ubicado en el coraz\xc3\xb3n de soho buena conexi\xc3\xb3n con el transporte p\xc3\xbablico bar restaurantes supermercados tiendas volver\xc3\xada sin dudarlo everything say thrust worthy exactly say ! shore 'll book great apartment great location ! super accommodate host ! el apartamento est\xc3\xa1 situado en una zona inmejorable un barrio muy atractivo es muy amplio e ideal para cuatro personas tiene todo lo necesario para que la estancia sea agradable jillian es muy atenta cuando volvamos nueva york dudaremos en quedarnos en este apartamento con tanto encanto awesome location perfect location 's essentially close everything studio exquisite jillian 's place perfect us locate middle soho area crowdwe enjoy famous italian restaurant downstairsshe communicate fast solve things quicklythe room spacious cozy 's grocery store right next door well laundry convenient ! love ! jillian nice host ! live place wonderful experience everything convenient many good restaurants interest store nearby 're several subway station go anywhere easily ! felt lucky comfortable place really like choose come back new york awesome place really enjoy stayreally spacious mention comfortablefelt like home jillian \xc3\xa9t\xc3\xa9 tr\xc3\xa8s accueillante et tr\xc3\xa8s arrangeante sur les horaires d'arriv\xc3\xa9e et de d\xc3\xa9part.l'appartement est id\xc3\xa9alement plac\xc3\xa9 dans le quartier de soho et trouve tout le confort n\xc3\xa9cessaire nyc really place visit important things location clean well-appointed space jillian 's place offer space larger expect especially nyc nice clean modern bathroom soho wonderful good-vibe place away madden tourist crush near everything 'd want walk washington square park even stroll anderson cooper 's house coffee shop block away coffee pot apt interest shop everywhere turn subway also block away jillian 's place second floor elevator easy climb felt safe -- neighborhood lot college students nyu noticeably fill refine artistic academic people young-ish vibe welcome one thing note -- matter anyone -- apt dark even lamps even day several big windows open alley quiet hear external sound a/c work great -- 's unit right bed cool entire apt happen come last week heat wave ! 90 humidity days shower two cross overhead nozzles strong steady force husband take back back shower plenty hot water jillian timely meet us give us key check-out simple give us restaurant suggestions even phone number driver take laguardia low price would definitely stay ! jillian 's place amaze location soho tons amaze cafes/restaurants/bakeries/bars around also shop suit budget transportation also easy peasy.the apartment slightly larger expect always plus also dont hear street noise back building.the negative apartment clean expect definitely need thorough deep clean dusty especially blind even little cockroach visit us first night also couple pot probably plant point time contain soil.jillian quick respond contact us trip.all great place stay nyc ! ! jillian great host always really easy get contact make process really easy place great really great spot close subway load place eat drink yet really quiet inside really clean look exactly like photos would definitely stay apt spacious perfectly clean locate strategically first time visit nyc 3 different subway line within walk distance connect major attractions within 20 minutes soho nice host kind respond quickly request recommend ! apartment much bigger expect comfortable really great shower location central convenient important especially new york 's really quiet great restaurants coffee shop nearby well interest shop jillian responsive host help immediately anything need love stay spacious apartment great location ! jillian great host extremely responsive go way make stay comfortable apartment mostly describe -- clean first floor large nyc apt however cable tv mean tv cold weather windows leak cold air restaurants grocery subway starbucks within one two block jillian personable understand late arrival due bus two hours late arrive city -- probably travel day christmas traffic heavy great place good location totally worthy jillian really helpful care host frd great time jillian \xe2\x80\x99 place perfect location ! right center amaze shop restaurants ! apartment clean comfortable huge studio tons storage stay entire month jillian amaze quick respond anything need definitely stay ! property great location clean jillian good host ... .there lot small things detract ideal pile towel base windows stop air come tv \xe2\x80\x99 work bathroom light switch loose secure wall carpet grind thread bare stairs get apartment steep ideal get sort luggage plant apartment dead really need remove replace \xe2\x80\x99 much light apartment feel like want light still \xe2\x80\x99 enough furniture apartment old look like \xe2\x80\x99 retrieve op shop place could real diamond need lot love get spec jillian responsive ready help location great cafes restaurants shop subway within couple minutes walk flat clean spacious necessary amenities definitely stay next time town""",93.0,2276603,93.3524,0.35240000000000293
967,"b""love location type public transportation within close walk distant.zhoe even bike available use huge selection various type restaurants grocery store shop choose right immediate area nice park street neighborhood friendly safe zhoe excellent host welcome accommodate appreciate little things ... example offer glass water soon check lend umbrella day rain apartment great location really cool isham park inwood hill park close bed comfortable also flexible check time huge help honestly ca n't say enough good things stay zhoe 's definitely recommend place anyone visit nyc first time stay private room use airbnb ! rent family members stay house need get away crowdedness ! glad zhoe 's cozy apartment ! zhoe 's great host ! answer question super quick make stay comfortable almost right home room clean bathroom literally right next door 's also super clean ! neighborhood great ! overall enjoyable stay nothing negative concern ! highly recommend 'm definitely go back time soon ! zhoe 's room great place spacious clean organize elegant simple bed sheet comforter wonderful tuck behind window panel a/c work wonder hot night wall decorate frame picture zhoe take travel 's large flat screen tv never use bathroom next door clean apartment overall fantastic place 're look great room outside manhattan super friendly host room airbnb great stay zhoe 's place ! helpful make sure everything okay apartment clean really close public transport area also nice green first experience airbnb couldnt choose better apartment comfortable cozy bite dark anyway big advantage tropical weather ny zhoe kind helpful host help us whenever need zohe fue un muy buen anfitri\xc3\xb3n atento cordial amable.siempre tuvo mucha disposici\xc3\xb3n para ayudarnos .en cuanto su apartamento este esta en las mejores condiciones muy higi\xc3\xa9nico muy bien equipado solo tenemos palabras de agradecimiento para describir nuestra estancia en el hogar muy buena experiencia recomendable de todas maneras clean cozy nice apartment zhoe great host nice smile girlfriend great stay everything clean comfortable room clean convenient zhoe good host ! recommend room great stay ! area great bus subway stop right corner restaurants walk distance apartment build apartment super clean spacious comfortable zhoe great host answer question recommend anything want see make feel like home would definitely recommend stay would return stay friend come check late night zhoe still wait us also help us big luggages really good impression room nice clean bathroom good also clean subway easy get train 1 train take u direct city take 30-40 minutes use local track recommend house thank thank u every help kindness welcome wonderful stay best impression first time stay ny room clean beautiful host already provide everything need build clothe wash machine dry machine use also help us find way subway subway easy get take 3-4 minutes walk chance visit nyc definitely come back stay ! thank u room cosy clean situate quiet area great water pressure shower zhoe friendly helpful suggestions area first time 've book room airbnb zhoe make first best stay ever visit ny brother stay 3 nights room clean quiet bed feel like bed home location step subway 's really convenient anything sure ask zhoe love hospitality definitely recommend place great place stay manhattan .a/c work great .very cleanly ... lock middle night leave come let greatly appreciate zhoe good host give plenty space even though house room super picture show cozy quiet place good safe location even late night definitely recommend place great location close transport room spacious comfortable zhoe brilliant host perfect stay nyc zhoe awesome host ! room clean bright cozy time check check flexible huge advantage even flight allow us stay time need also location great close public transport everything perfect ! pleasure stay zhoes 's place apartment clean zhoe gracious host locate near two subway line train 1 train zhoe 's apartment clean room comfortable also location close public transportation minute walk 1 red line 5 minutes green line bring directly manhattan 25-30 min really enjoy stay zhoe 's apartment definitely recommend anyone travel nyc el apartamento de zhoe es muy bonito todo muy bien ordenado limpio el aire acondicionado en la habitaci\xc3\xb3n fue perfecto para esta \xc3\xa9poca tiene l\xc3\xadneas del metro cerca lo cual ayuda mucho para ir manhattan que est\xc3\xa1 30 minutos aproximadamente en general es un buen lugar para hospedarse un lugar acogedor limpio para hospedarse un excelente anfitri\xc3\xb3n siempre disponible para dudas recomendaciones zhoe 's place great ! clean spacious keep simple yet everything need private room ample drawer space two travelers nice write table comfortable bed room dark quiet sleep well 's convenient two subways excellent food options nearby highly recommend zhoe es un gran anfitri\xc3\xb3n muy amable la casa est\xc3\xa1 muy limpia tiene una excelente ubicaci\xc3\xb3n la l\xc3\xadnea de tren que tomamos nos sirve todos los lugares tur\xc3\xadsticos desde el aeropuerto en metro es directo el barrio es muy tranquilo tiene mucho comercio restaurantes cerca lo recomiendo 100 pleasure stay zhoe 's place zhoe great host ! place spotless room big bright bed super comfortable place great location min walk subway line 1 check check time flexible night flight zhoe allow stay till late even totally recommend place definitely request stay 'm back city thank much zhoe ! everything perfect zhoe good host get touch quickly kind place clean comfortable bed bathroom also nice warm water also good internet conection visit financial district side city take like hour get subway keep overall pleasant experience first airbnb zhoe 's place great ! clean spacious keep simple yet everything need private room ample drawer space two travelers nice write table comfortable bed room dark quiet sleep well 's convenient two subways excellent food options nearby highly recommend neat place zhoe great host everything like photos 's reason 've stay zhoe 's place multiple time -- 's perfect everything need clean conveniently locate zhoe great host -- make check easy communicate promptly make guest feel right home zhoe incredibly hospitable always available yet \xe2\x80\x99 intrude place near everything need stay highly recommend zhoe great guy totally helpful room central location nyc 's clean quiet bed also comfortable would highly recommend.. zhoe buen anfitri\xc3\xb3n aunque se encontraba dej\xc3\xb3 especificaciones claras detalladas en cuanto acceso su departamento siempre disponible para aclarar cualquier duda .. buen lugar se recomieda .. zhoe 's apartment excellent -- clean orderly well-furnished spacious neighborhood charm convenient access subways zhoe thoughtful knowledgable friendly host woow zhoe discripe stay zhoe place ? helpfull example train get city find best shop show really appriciate ! best.. something go ? call time help always room nice clean bed nice ! good shower ! laundry note dryer break zhoe helpt look good spot dry soon next time definatly come back ! hug fabie highly recommend zhoe \xe2\x80\x99 place clean great location zhoe gem ! easy communicate towel fresh bar soap wait us little touch like make feel like home ! zhoe really great communication accommodate place locate within short walk distance 1 train convenient time square 40 mins area also offer eateries salon convenience store right outside stay place simple organize bedroom great size two people comfortable bed well zhoe gentle kind -- would n't regret host ! greta place stay would definitely go back parent stay zhoe \xe2\x80\x99 place great thank everything ! communicative host would definitely book house upon next ny visit ! youll never find place price amaze host helpful everything check time accommodation great recommendations neighbourhood really enjoy time ! good stay zhoe 's space chill peaceful clean definitely come back visit friends family city""",93.0,17669867,93.494,0.4939999999999998
272,b'bonjour nous avons \xc3\xa9t\xc3\xa9 accueillies par un ami \xc3\xa0 matt qui nous remis les clefs matt laiss\xc3\xa9 une enveloppe avec quelques informations pertinentes sur les restaurants et lieux \xc3\xa0 visiter dans son quartier l \xe2\x80\x99 appartement \xc3\xa9tait bien \xc3\xa9quip\xc3\xa9 am\xc3\xa9nag\xc3\xa9 simplement et agr\xc3\xa9able il dispose \xe2\x80\x99 un ascenseur ce qui est pratique nous sugg\xc3\xa9rons \xc3\xa0 matt \xe2\x80\x99 ajouter quelques cart de brooklyn ou du m\xc3\xa9tro pour faciliter l \xe2\x80\x99 arriv\xc3\xa9e et le d\xc3\xa9placement des touristes pour tout le reste c \xe2\x80\x99 \xc3\xa9tait parfait une adresse \xc3\xa0 retenir et un bon rapport prix/qualit\xc3\xa9.au plaisir abdenour et amina',99.0,4775278,94.2959,4.704099999999997
1118,"b""would recommend stay apartment good thing view city apartment clean check challenge- front desk inform us airbnb allow build eventually allow clean lady come basic amenities missing- iron iron board hangers duvet cover continually request th host eventually receive half way stay.i would save trouble look another place stay stay yoly \xe2\x80\x99 apartment quite enjoyable breathtaking view excellent communication yoly friend juan block away time square theaters \xe2\x80\x99 ask more.i come food poison last day yoly understand allow us stay apartment 6 hours past checkout \xe2\x80\x99 know would walk around city day sick yoly save day allow us stay rent little longer \xe2\x80\x99 thankful this.there \xe2\x80\x99 great fresh organic market right across street everything think shop frequently trip convenient delicious.the apartment beautiful view even better picture bathroom gorgeous rainfall shower head welcome touch also in-unit washer dryer great king size bed firm side super comfy.the kitchen miss things consider fully stock kitchen toaster microwave coffee maker cook utensils mix bowl aside everything need miss items would things \xe2\x80\x99 suggest add unit.otherwise stay everything hop girlfriend would definitely stay next trip nyc highly recommend ! ! thank yoly ! ! amaze place everything perfect good stay yoly apartment.the apartment spacious amaze view timesquare hell 's kitchen.the cleanliness improve accessories kitchen complete enable practical stay overall experience good.finally host pretty flexible check check time enable us fully enjoy first last days thank yoly juan great apartment ! everything clean view amaze ! yoly easy communicate great time yoly alex 's apartment ! yoly alex 's spot true gem ! beautiful view city 've 2 trip apartment stay wonderful yoly alex keep place spotless ! desk overlook new york city 's absolute dream work return every trip ny ! thank ! apartment great fantastic view everything describe summary good separate bedroom live area 12-15 minute walk time square traffic light stop great host nothing problem always get back message quickly stay house watch greatness manhattan worth money spent.. recommend terrific place location heap room great view ideal couple getaway front door key open nightmare though lol great apartment location price right apt great convenient location address list however itinerary correct lead confusion transportation airport host 's assistant meet us late hour take us apt show us around appreciate bldg secure safe ! insane view great communication great apartment great view ! picture accurate love convenience in-unit washer dryer thing come stay able reach host first day need know wifi information several texts message call finally get hold follow afternoon apologetic get back us wifi day definitely impact stay everything else great would recommend love nice apartment issue get inside n't tell airbnb reception n't wifi inside n't hairdryer unfortunately yoly alex ignore question unavailable able sleep earplugs noisy even manhattan apartment locate well view apartment breath take everything accessible place perfect couple husband stay four days love would stay deal alex prompt professional responsive knowledgeable location ideal one block hudson river block time square daytime nighttime view apartment fabulous wonderful retreat busy lively streets nyc apartment ideal one couple minimally furnish basic necessities sofa one piece furniture sit relax -- adequate comfortable sofa apartment clean one exception sofa big stain detractor give rest apartment look like would wise clean replace sofa add another piece comfortable seat worth money amaze view nice host recommend absolutely amaze unique ? view ny skyline easy access time square hell 's kitchen high line problem reception desk host flexible offer add additional bed one key would nice great location fast check-in apartment fantastic view locate good spot walk around manhattan alex quick respond allow us late check appreciate overall apartment build nice would stay without hesitation ton place walk location.a note future improvements:1 first walk apartment slight weed/cigarette smell smell carry bedroom live room notice right walk 2 closet bedroom almost seem like storage random things could dispose break tv mount etc would nice able use entire closet clothe etc.3 toiletries collection regular size bottle multiple people use past would nice personal size seal toiletries pay much place.4 alex able give us one key apartment key go elevator 45 floor one key limit us able split extra key would nice apartment value-packed alternative tiny nyc hotel room view amenities get place refrig washer dryer room spread e.g. wonderful weather help view actually better think photos make look north hudson west right toward mid town location great nyc tourist excursions 's 1/2 mile walk w. 42nd craziness time square nearest subway stop 's block circle line terminal sure find time 1.45 hour `` landmark '' cruise pay better seat right across street tower `` sunac '' market basically small whole foods excellent hot cold items take eat apartment super convenient 'on go need apartment ample kitchen supply washer/dryer huge plus exercise n't want pack much stay nyc nights one top airbnb options sure yoly alex \xe2\x80\x99 place amaze ! million dollar view apartment well locate block time square pretty smooth stay arrive.cons take week hear back initial txt reply days arrive kitchen essentials miss salt pepper restroom door would close smoke odor restroom come another unit nothing major tho start say 're go stay likely view view great however one pros various con book apt back september never receive message back message week arrival bc never receive check information well know check unorthodox address wrong itinerary build know stay airbnb lie say family member stay apt sketchy complete deal breaker rest stay amaze walk distinct cigarette weed smell come bathroom place clean black scuff white wall throughout place bed extremely uncomfortable- flat couch would decent except throw pillow maid leave washer dryer full leave us search towel leave 1 also note right next ny fire dept prepare hear fire sirens throughout night positives however view beautiful live room bedroom sunac 24hr market across street great- everything may need 20m walk time square feel like space extreme potential- things felt `` throw together '' someone put fresh coat paint keep clean put think would real gem fell short us time around great location amaze view wonderful stay yoly alex place great hospitality well definitely come back next stay highly recommand apartment love apartment ! ! stay second time yoly alex easy communicate apartment spacious view treat ! space clean comfortable great come back nice apartment busy day city plan book next trip nyc close javits hell \xe2\x80\x99 kitchen time square excellent build look comfort style view much stay apartment apartment beautiful clean modern \xe2\x80\x99 good location spectacular view view alone worth trip ! host responsive question check easy would stay minor little things bothersome could easily fix cabinets closet clean place little organize would amaze already amaze place little things notice strong cigarette odor bathroom also ask flip laundry little strange big deal pay clean fee third difficult find things little disorganize lot closet cabinets fourth closet 3/4 full old blanket linens things use blanket large stain lastly bed really nice linens mattress little uncomfortable things deter stay bc host great place amaze ... small stuff would definitely stay great location jose great work regret able stay longer ! great place ! ! ! yoly alex 's apartment outstanding modern clean well locate view skyline another level ! concern review cigarette odors nothing worry build great smell inside apt clean perfection definitely stay again.thanks hospitality ! ! ! amaze flat location love apartment perfect anyone look experience new york city view day night stun property facilities could want yoly alex responsive even able arrange late arrival us tick box""",100.0,19050687,93.9847,6.015299999999996
3677,"b""room lovely everything clean kate great host ... actually place great 's adorable spot anyways complaints ! kate es una excelente anfitriona ya que ella estaba en casa dejo todo preparado para mi cerveza fria toallas hermosa cama post indicadores el lugar es hermoso muy bien ubicado cerca del subte ademas si tienes temores debajo esta la estacion de policia hermosa experiencia ! muchas gracias kate ! ! ! !""",100.0,6026166,94.6413,5.358699999999999
3282,"b""carol fine service see much praise her.the room clena tidy wonderful time carol 's house room describe carol warm friendly peaceful home look would gladly stay house cozy room ms. carol nice shes far transportation would thank wonderful host hope stay pleasure host carol everything great safe neighbourhood clean roon would defenetly stay carol personable sweet initially arrive much later expect 1 a.m. pleasant accommodate room clean tidy recommend stay single traveler would recommend aware surround nyc especially even carol 's area pretty quiet even yankee stadium bronx zoo probably two closest tourist attractions area good experience ! ! stay carol wonderful get expect \xe2\x80\x99 afraid \xe2\x80\x99 say enough good things place carol take care stay texting ask way helpful arrive place wait room clean quiet nice comfortable neighborhood quite nice bus close carol welcome friendly gracious generous always fruit table basics breakfast come back home hungry always find food carol also check \xe2\x80\x99 downtown make sure \xe2\x80\x99 fine worry cold \xe2\x80\x99 bring enough cloths give sweater use would like stay certainly would stay feel 'm home thank much carol ! ! drive boston look easy access highways park carol 's location perfect carol sweetheart warm welcome felt comfortable stay room clean cozy ever back city surely 'll book ! carol nice helpful good reasonable rule clean affordable stay 's small comfortable room definitely recommend repeat stay nice experience small room clean comfortable place carol make feel welcome throughout stay room tidy clean comfy neighborhood quiet train bus short walk distance definitely stay come late night carol wait fall asleep send message wake open door give key need night get nice bath nice sleep really feel warm welcom website hide airbnb morning invite cup cafee tell rule nothing `` treat people way want treat `` felt really home .she show way get place want visit.how take taxi bus train place time call ask find place go need work morking need go gymcenter carol opend nice person place clean wish could stay days duty call back home wish members airbnb like carol carol welcome easy go list accurate stay convenient return carol fantastic host pleasant helpful room nice clean bathroom amaze appreciate wifi work great ! transportation easy bus step away house bus take train station enjoy walk train station take 15mins brisk pace park street plentiful car would definitely stay without think ! home away home location perfect everything need grocery store laundromat 5min walk 15 min walk train station gun hill road 219th street carol awesome love stay surround neighborhood safe 'll enjoy time bronx good host carol 's place perfect incredibly cozy clean comfortable carol amaze host definitely best 've ever stay nice helpful happy live one month thank everything carol hope someday 'll come live carol 's residence entire month courteous throughout find location convenient stay well safe especially find park easy enough nyc would definitely recommend ! carol welcome warm stay month spend time work hospitals place close bus station 20 min bus ride major teach hospitals area come full kitchen clean bathrooms din area big like computer work breakfast coffee sunrise carol helpful friendly check heat preference provide better public transportation tip hide airbnb map remind change weather save freezing/soaking one days thank carol good month ! place exactly describe website good time stay carol 's place nice person room bright comfortable carol gracious knowledgeable host home decorate tasteful lovely way bronx room stay comfortable clean airy perfect place stay trip enjoy meet guests converse carol glad find home air b n b check regularly toake sure need thank much carol ! carol generous host neighborhood quite safe room show commute tougher expect small adequate bright room large dresser clothe hangers etc super clean well stock kitchen half dozen gourmet coffees large choice breakfast health nut carol like hospitality pro shoe must remove entry make sense near bus line otherwise urban residential bronx great experience carol 's place much better expect first time room share bathroom thing felt extremely comfortable home house good energy clean room small love neighborhood seem pretty safe rent car n't much experience walk around central anywhere need go 's specifically book bronx would definitely stay next time visit ny long simple common courtesy enjoy stay carol 's house carol warm lady super experience 's care stay apartment good neighborhood house tidy well organize definitely recommend carol 's place 're adventurous type need accommodation nyc budget carol 's place best great radiate energy always try best make sure 're stay everything need.there 's billion entries nyc hospitality pick one blue lucked place super clean 15 minute walk subway 40 minute subway ride manhattan neighborhood seem safe.only one thing wall super thin could hear people rummage house big deal though !""",95.0,5803068,93.0365,1.9634999999999962
