Train_loss,Train_loss_index
8034.8262,0
4045.072,1
3068.0867,2
2862.1519,3
2878.2812,4
2848.6257,5
2921.4153,6
2948.3455,7
2937.8872,8
2873.5398,9
2743.8213,10
2589.0085,11
2409.6938,12
2240.425,13
2117.7527,14
2046.165,15
2003.4336,16
1930.522,17
1842.2653,18
1756.2451,19
1676.5225,20
1611.0754,21
1558.9878,22
1516.6016,23
1480.8828,24
1438.1802,25
1399.2924,26
1354.3639,27
1308.8604,28
1269.0149,29
1238.7856,30
1210.5007,31
1177.3701,32
1143.8052,33
1113.2557,34
1088.6395,35
1061.9097,36
1040.5363,37
1016.3232,38
992.2758,39
968.9487,40
946.4831,41
925.8318,42
906.4805,43
887.0563,44
868.9261,45
850.9327,46
834.923,47
819.8773,48
804.8878,49
789.8846,50
775.5863,51
761.7616,52
752.1586,53
739.0364,54
726.2828,55
714.2169,56
702.2411,57
692.5755,58
682.0743,59
672.4893,60
662.1932,61
652.3362,62
643.3041,63
635.1978,64
627.8757,65
619.7576,66
611.0661,67
602.751,68
594.5807,69
587.2741,70
584.9289,71
577.8691,72
570.7053,73
563.9211,74
558.714,75
552.673,76
546.9176,77
540.8514,78
534.3795,79
529.146,80
530.8394,81
524.6908,82
519.2664,83
515.4376,84
510.0661,85
504.9303,86
500.2987,87
495.5201,88
491.0177,89
486.0647,90
483.2395,91
478.3852,92
473.5402,93
469.1599,94
465.4731,95
461.5568,96
457.2653,97
452.9946,98
449.1415,99
446.0074,100
442.1055,101
438.166,102
434.5965,103
430.8826,104
427.1332,105
424.4258,106
421.0055,107
417.5887,108
414.097,109
411.6917,110
408.5407,111
407.2307,112
406.5909,113
404.7104,114
402.6392,115
399.6438,116
396.7169,117
394.8772,118
392.2579,119
389.7146,120
386.826,121
384.3303,122
381.7542,123
379.0399,124
378.9914,125
376.4259,126
373.8212,127
371.2136,128
368.8736,129
366.266,130
363.6695,131
361.4635,132
359.014,133
356.6843,134
354.3575,135
352.5311,136
350.2514,137
349.014,138
346.8579,139
344.8648,140
343.1165,141
341.2772,142
339.1917,143
337.2073,144
335.2708,145
333.2361,146
331.1377,147
331.5879,148
329.5485,149
327.9464,150
326.2506,151
324.5064,152
322.8286,153
321.1812,154
319.6252,155
318.5952,156
316.8503,157
315.5055,158
314.0808,159
312.8786,160
311.2309,161
309.7554,162
308.3064,163
307.0297,164
305.8554,165
304.1905,166
302.7903,167
301.2434,168
299.6602,169
300.1025,170
298.5934,171
297.3519,172
296.6526,173
295.1986,174
293.8527,175
292.3796,176
290.941,177
289.4344,178
288.034,179
286.9648,180
286.1,181
284.8302,182
283.9615,183
283.1057,184
281.9,185
280.9778,186
280.1163,187
278.7655,188
277.6988,189
276.495,190
275.5042,191
274.2188,192
273.3141,193
274.3145,194
274.8605,195
274.6802,196
273.8851,197
272.9098,198
271.8239,199
270.6028,200
269.7958,201
269.1412,202
267.9891,203
266.8308,204
266.1397,205
266.6489,206
265.6972,207
264.7856,208
265.0672,209
263.9207,210
263.1306,211
262.2182,212
261.2472,213
260.2004,214
259.2965,215
258.2873,216
257.3137,217
256.426,218
255.4836,219
254.6171,220
253.5849,221
254.8175,222
254.0314,223
253.2233,224
252.6259,225
251.842,226
250.8411,227
249.8143,228
249.0162,229
248.4067,230
247.7067,231
246.701,232
245.7896,233
244.9947,234
244.2088,235
243.3631,236
242.5136,237
241.7013,238
240.8941,239
240.3825,240
239.534,241
238.7794,242
238.9361,243
238.5559,244
237.9346,245
237.1871,246
236.4337,247
235.5837,248
234.926,249
234.3257,250
234.3784,251
233.9965,252
233.5002,253
233.0452,254
232.2792,255
231.8668,256
231.1561,257
230.41,258
229.6678,259
229.1852,260
228.3889,261
227.7451,262
227.0589,263
227.8808,264
227.1703,265
226.6966,266
226.0344,267
225.3066,268
226.3967,269
225.7408,270
225.0997,271
224.5301,272
223.9491,273
223.3363,274
223.1299,275
222.4545,276
221.7915,277
221.0948,278
220.7757,279
220.2193,280
219.6569,281
219.6438,282
219.1971,283
218.8139,284
218.1623,285
217.6164,286
217.0007,287
216.4291,288
215.7753,289
215.1259,290
215.0945,291
214.5748,292
214.0,293
213.367,294
213.0092,295
212.3898,296
211.8035,297
211.2184,298
210.6101,299
216.1747,300
220.3621,301
222.458,302
221.9133,303
223.0569,304
225.1876,305
225.6711,306
225.0077,307
224.9992,308
225.7134,309
226.6413,310
227.2224,311
227.0115,312
226.514,313
227.2618,314
227.5949,315
227.4952,316
227.1803,317
227.1768,318
227.4753,319
227.955,320
228.0675,321
227.5585,322
227.0602,323
227.2582,324
228.1915,325
227.8208,326
227.3179,327
227.3769,328
227.3681,329
227.271,330
226.9312,331
226.3944,332
226.1168,333
225.6853,334
225.3257,335
224.7227,336
224.1797,337
223.7047,338
223.3051,339
222.9298,340
222.4552,341
221.8551,342
221.2811,343
221.0154,344
220.709,345
220.1918,346
219.7235,347
219.3031,348
218.8928,349
218.3552,350
217.8424,351
217.2714,352
218.4984,353
218.0822,354
217.6652,355
217.5716,356
217.2336,357
216.9789,358
216.5849,359
216.0759,360
215.5406,361
215.2075,362
215.8759,363
215.4155,364
214.9758,365
214.6429,366
214.3254,367
213.9024,368
213.4603,369
213.1497,370
212.6688,371
212.2361,372
211.7426,373
211.3659,374
211.0924,375
210.7516,376
210.5687,377
210.1953,378
209.7425,379
209.5608,380
209.8421,381
209.4664,382
209.1011,383
208.7166,384
208.3428,385
208.0347,386
207.6382,387
207.3694,388
207.7505,389
207.3435,390
207.1143,391
206.8997,392
206.7289,393
206.5637,394
206.91,395
206.6142,396
206.2422,397
205.9628,398
205.5139,399
206.0968,400
205.6748,401
205.4071,402
204.9779,403
204.5662,404
204.1429,405
203.6913,406
203.2851,407
203.1559,408
202.7072,409
203.0689,410
203.2061,411
203.1069,412
202.8831,413
202.6244,414
202.2978,415
201.9194,416
201.7594,417
201.3755,418
200.9877,419
201.0345,420
201.4303,421
201.1401,422
200.9727,423
201.4964,424
201.1955,425
200.9609,426
200.5774,427
200.2109,428
199.8442,429
199.5214,430
199.3138,431
199.3546,432
199.0367,433
198.8486,434
198.5926,435
198.2776,436
197.9307,437
197.9438,438
197.6031,439
198.0897,440
197.7827,441
197.6288,442
197.3426,443
197.0643,444
197.8443,445
197.683,446
197.3361,447
197.1053,448
196.7185,449
196.3942,450
196.0519,451
195.6488,452
195.3269,453
195.5116,454
195.1518,455
194.8019,456
194.6994,457
194.4035,458
194.1848,459
193.8935,460
193.5395,461
193.1961,462
