,host_id,host_response_time,host_identity_verified,availability_365,review_scores_rating
0,2571,2,TRUE,107,10
1,2600,1,FALSE,220,9
2,2758,2,TRUE,316,9
3,2782,2,TRUE,62,10
4,2787,1,TRUE,365,10
5,2845,3,TRUE,365,10
6,2881,1,TRUE,292,9
7,3211,2,TRUE,89,10
8,3227,1,TRUE,155,8
9,3415,3,TRUE,365,10
10,3647,1,TRUE,284,10
11,3867,1,TRUE,36,10
12,4177,3,TRUE,305,9
13,4267,3,TRUE,80,9
14,4396,1,TRUE,359,9
15,4869,1,TRUE,126,9
16,5089,1,TRUE,102,10
17,6041,1,TRUE,0,10
18,7113,3,FALSE,131,10
19,7118,3,TRUE,17,8
20,7209,1,TRUE,37,9
21,7231,4,FALSE,2,9
22,7323,3,TRUE,21,8
23,7351,2,TRUE,89,8
24,7356,3,FALSE,217,9
25,7386,1,TRUE,0,9
26,7500,3,TRUE,164,10
27,7549,2,TRUE,182,9
28,7612,1,TRUE,21,9
29,7702,3,TRUE,249,9
30,7740,2,FALSE,24,9
31,7815,2,TRUE,0,9
32,7987,2,FALSE,365,9
33,7989,2,TRUE,49,10
34,7999,1,TRUE,310,9
35,8198,3,TRUE,151,9
36,8425,1,TRUE,34,8
37,8605,3,TRUE,88,9
38,8730,2,TRUE,0,10
39,8967,2,FALSE,171,7
40,9744,2,TRUE,279,9
41,10135,1,TRUE,346,9
42,10528,1,TRUE,76,8
43,10889,1,TRUE,251,9
44,11481,2,TRUE,365,9
45,11975,2,TRUE,1,10
46,12220,2,FALSE,348,10
47,12221,2,TRUE,284,7
48,12706,4,TRUE,318,10
49,13424,1,TRUE,2,10
50,14370,2,TRUE,0,10
51,15523,2,TRUE,322,10
52,15742,2,TRUE,7,7
53,15784,1,TRUE,0,10
54,15792,3,TRUE,88,9
55,15991,1,FALSE,281,9
56,16179,2,TRUE,291,5
57,16800,2,TRUE,218,9
58,16851,1,TRUE,1,10
59,16857,3,TRUE,1,10
60,16866,3,TRUE,13,10
61,17571,1,TRUE,353,10
62,17930,1,FALSE,234,10
63,17985,1,TRUE,137,9
64,18174,1,TRUE,285,9
65,18583,1,TRUE,125,9
66,19402,1,TRUE,82,10
67,19562,2,TRUE,61,1
68,20549,3,TRUE,119,10
69,20805,4,TRUE,74,10
70,20830,1,TRUE,43,10
71,21188,2,TRUE,107,10
72,21248,1,FALSE,0,10
73,21286,1,TRUE,195,10
74,21306,1,TRUE,93,9
75,21475,2,TRUE,354,10
76,21823,1,TRUE,263,9
77,21904,3,TRUE,365,9
78,22462,1,FALSE,38,10
79,22486,1,TRUE,307,9
80,23193,2,TRUE,260,10
81,24000,1,TRUE,290,9
82,24347,3,TRUE,0,10
83,25175,1,TRUE,149,10
84,25183,1,TRUE,236,9
85,25188,3,TRUE,89,10
86,25459,1,TRUE,58,9
87,25533,2,TRUE,173,10
88,25810,3,TRUE,15,9
89,26640,4,FALSE,364,9
90,27848,1,TRUE,365,8
91,28250,3,TRUE,53,10
92,28267,1,TRUE,173,9
93,28573,1,TRUE,9,10
94,29096,2,TRUE,157,10
95,29762,1,TRUE,8,9
96,30193,3,TRUE,48,9
97,30529,1,TRUE,262,10
98,31174,1,FALSE,0,10
99,31374,2,TRUE,337,8
100,32005,1,TRUE,14,10
101,32045,3,TRUE,273,10
102,32169,2,TRUE,361,7
103,32228,3,TRUE,0,8
104,32294,2,TRUE,365,8
105,32704,2,FALSE,365,9
106,33009,1,FALSE,0,10
107,33405,1,FALSE,174,9
108,34128,2,FALSE,62,10
109,34331,2,TRUE,30,9
110,35375,2,TRUE,365,10
111,35377,1,TRUE,77,8
112,35935,3,FALSE,322,9
113,36841,1,TRUE,17,10
114,36897,1,TRUE,78,10
115,37310,4,FALSE,0,10
116,38648,1,TRUE,88,8
117,39260,1,FALSE,292,9
118,40100,1,TRUE,4,7
119,40275,1,FALSE,365,10
120,41525,2,TRUE,88,10
121,42032,3,TRUE,117,10
122,42273,1,TRUE,228,10
123,44145,1,FALSE,28,9
124,45009,1,TRUE,261,10
125,45016,1,TRUE,77,9
126,45120,3,TRUE,0,10
127,45384,3,TRUE,212,10
128,45682,1,FALSE,1,10
129,46969,1,TRUE,202,10
130,46978,1,TRUE,41,9
131,47459,3,TRUE,0,10
132,47532,2,TRUE,0,7
133,47610,3,TRUE,363,10
