type,name,website,address,aggregated_description,latitude,longitude
food,Roberta's,http://www.robertaspizza.com/," 261 Moore St, NYC","	Some of Bushwick's finest dining- amazing brick oven pizza, fresh breads and locally sourced ingredients. They recently won a Michelin star- foodies love this place. Worth the walk but expect long ...Â read more	 Covered in hip-hop-influenced graffiti is Robertaâ€™s, a popular Italian-inspired pizza & local dining establishment in Bushwick. Donâ€™t let the exterior deter you â€“ urban decay becomes haughty elega...Â read more	This is my go-to dine in pizza restaurant, they have high temp, thin crust, brick fired, authentic italian style pies.  Plan ahead there is always a wait for Lunch and Dinner. Honestly, everyone kn...Â read more",40.7050062,-73.9335894
food,Saraghina,http://www.saraghina.com/," 435 Halsey Street, NYC","	The pizza is outstanding, and the wine list is well-priced. This is a great neighborhood place, suitable for parents with young kids, couples on a date, business partners at a working lunch, or eve...Â read more	Hip and happening neighborhood Italian spot with a mix of locals, tourists and adventurous Manhattanites looking for the Bed-Stuy buzz.  Wonderful staff, relaxed and slightly ramshackle vibe and tr...Â read more	Great brick oven pizza, salads, appetizers, fish, steak in the best setting - indoors and outdoors! Also they have a great bakery right around the corner, entrance on Halsey Street, where you can g...Â read more",40.68332735,-73.9354159
food,Red Rooster,http://redroosterharlem.com/," 310 Lenox Avenue, NYC","	One of the hottest additions to the Harlem soul food scene, Red Rooster's chef Marcus Samuelsson has created a Harlem dining destination that is both refined and popular. Reservations are essential...Â read more	Top Chef Marcus Samuelsson's restaurant is the heart and soul of Harlem's culinary scene. It offers live music or DJs every night. Ginny's Supper Club below the Red Rooster also offers Chef Samuels...Â read more	Ginny's superclub in the basement of Red Rooster Restaurant is a fun, fun place to dance the night away on a Friday and Saturday night. Start upstairs at Red Rooster's bar and enjoy a great drink a...Â read more",40.808057,-73.944914
food,Five Leaves,http://www.fiveleavesny.com/," 18 Bedford Avenue, NYC","	Famous Aussie spot once owned by Heath Ledger. This place gets super busy during the evenings, and weekends but the food makes it worth the wait. Brunch and dinner are amazing. Another solid option...Â read more	Amazing brunch formerly owned by Heath Ledger! Recommend trying on a weekday because usually an hour wait on the weekend. The pancakes are soooo good! And the big brekkie is one of my faves.	Famous Aussie spot once owned by Heath Ledger. This place gets super busy but its worth the wait. Brunch and dinner are amazing. The burger is outstanding. ",40.72373595,-73.95164195
food,Smorgasburg,http://smorgasburg.com/," 90 Kent Avenue, NYC","	Smorgasburg Williamsburg:SATURDAYS 11am-6pm (spring/summer/fall)""Buzzy seasonal outdoor foodie market on Saturdays, offering 75+ vendors & city skyline views.""Enjoy the views of Manhattan acro...Â read more	Following the runaway success of the Brooklyn Flea market, founders Eric Demby and Jonathan Butler unveiled this food-only Saturday affairâ€”a gluttonâ€™s paradise packed with more than 100 vendors haw...Â read more	Smorgasburg market happens every Saturday on the Williamsburg waterfront at East River State Park from 10am - 5pm April through November. It's 100 of the most unique food vendors from all over Broo...Â read more",40.7214523,-73.9621248
food,Katz's Delicatessen,http://katzsdelicatessen.com/," 205 East Houston Street, NYC","	Made famous in the movie ""When Harry Met Sally"" - the famous Katz's deli is a great place to stop for lunch. Probably some of the best pastrami, hot dogs and knishes in the world. 	In 127 years, little has changed at Katz's. It remains one of New York's â€” and the country's â€” essential Jewish delicatessens. Every inch of the massive Lower East Side space smells intensely of pa...Â read more	A tourists & celebrity haunt founded in 1888, Katz's Deli is known internationally for its sandwiches and hot dogs, widely considered among New York's best. When Harry Met Sally was filmed here.",40.722345,-73.9873614
food,Grand Central Terminal,http://www.grandcentralterminal.com/," 89 East 42nd Street, NYC","	Grand Central is not only the world's largest (76 acres) and the nation's busiest railway stationâ€”nearly 700,000 commuters and subway riders use it dailyâ€”but also one of the world's most magnificen...Â read more	New York City Subway station that is underneath the terminal.Grand Central Terminal is a commuter (and former intercity) railroad terminal at 42nd Street and Park Avenue in Midtown Manhattan in NYC.	Grand Central Terminal is a commuter, rapid transit (and former intercity) railroad terminal at 42nd Street and Park Avenue in Midtown Manhattan in New York",40.7527012,-73.97724987
food,Maison Premiere,http://www.maisonpremiere.com/," 298 Bedford Avenue, NYC","	The word â€œatmosphericâ€ù doesnâ€™t begin to describe Maison Premiereâ€™s lush, straight-out-of-New Orleans backyard. Where better to spend a sultry summer night than seated at a wrought-iron table with l...Â read more	Do you love oysters as much as we do? Then you've come to the right place. This sexy Williamsburg favorite serves $1 East Coast and $1.25 West Coast oysters every weekday from 4-7pm. Get there early!	Certainly one of the top cocktail bars in the city, if not the country. MP is often written up in magazines, blogs, etc. High quality cocktails in an old New Orleans atmosphere. They have an excell...Â read more",40.7142423,-73.9616066
food,Chavela's,http://chavelasnyc.com/," 736 Franklin Avenue, NYC","	NOTE: the Airbnb address for Chavela's is incorrect. This restaurant is located at 736 Franklin Ave at the corner of Sterline Place. Chavela's is a wonderful place for authentic Mexican cuisine in ...Â read more	Great authentic Mexican food w/ a good vibe, and I don't just say that because I know the owners. He actually /is/ Mexican and she is lovely. Great team! Go for the Mexican corn and guacamole! 	Favorite Mexican place in Crown Heights. All of Franklin Avenue is great. Lot's of Cafe's and new Restaurants. A lot less touristy than Williamsburg and you can walk there in 25 min from my house. ",40.6734699,-73.9571267
food,Diner,http://dinernyc.com/," 85 Broadway, NYC","	 	Diner is built inside of a refurbished dining car from 1926. Once inside you're whisked back to the Gatsby era of New York City. Delicious seasonal menu that changes daily but the burger is always ...Â read more	This linchpin of a modest neighborhood food empire is one of Williamsburg's original dining destinations, housed in a ramshackle old train car-looking space just south of the bridge. The menu is co...Â read more",40.7106766,-73.9655977
food,Fette Sau,http://www.fettesaubbq.com/," 354 Metropolitan Avenue, NYC","	You'll notice I mention a lot of BBQ, as it is probably the one food item I could eat daily and never grow tired of it. The best thing on their menu is the pork belly, and pastrami. Side items I li...Â read more	Once a trendsetter, now a member of the Williamsburg establishment, Fette Sau serves up a rotating menu of pork and beef ribs that leads some to tag it as the best BBQ in NYC. If you're into BBQ, t...Â read more	Fette Sau is how Brooklyn does BBQ - dry rubbed  smoked meats by the pound with the bbq sauce on the side.  Stylishly industrial look and feel with a hip crowd.",40.713884,-73.9564851
food,Barboncino Pizza,http://www.barboncinopizza.com/," 781 Franklin Avenue, NYC","	Awesome pizza with a tiny backyard and good cocktails. Take out available and their kitchen is open late every night (often until midnight/1am) with two happy hours (a ""normal"" early happy hour fro...Â read more	Romantic, dimly lit place with good music and lots of nooks and crannies to get private, as well as a pretty good bar crowd if you're feeling company!  They also do fantastic wood-fired pizzas and ...Â read more	Absolutely amazing. Really cool and laid back, low lighting, candles on every wooden table, a clear view of the wood-burning pizza oven. Best pizza ever! My go to place and winner consistently!",40.67207165,-73.95721336
food,Dough Doughnuts,http://www.doughdoughnuts.com/," 448 Lafayette Avenue, NYC","	DOUGH Donuts. All you need to know really, plus the line on weekend mornings. Open 6am-9pm, doughnuts made fresh by hand THROUGHOUT the day, filling orders from fans in Tokyo and Dubai, flavors lik...Â read more	A whole store dedicated to donuts.  Proof that if you focus on one thing you do it well.  The hibiscus donut is the must  ... closely followed by the blood orange.  In fact, you'll want one of each. 	Secret spot to buy the best donuts in town! You can watch them making the donuts through a window while at the store. It is not uncommon that there is a little line on weekends because everybody wa...Â read more",40.686713,-73.979057
