id,listing_url,name,space,picture_url,neighbourhood,latitude,longitude,price,weekly_price,monthly_price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
2515,https://www.airbnb.com/rooms/2515,Stay at Chez Chic budget room #1,"-PLEASE BOOK DIRECTLY. NO NEED TO SEND A REQUEST FOR DATES CALENDAR IS UP TO DATE ALL AIRBNB RESERVATIONS WILL BE HONORED Nice, comfortable, and clean private guest room with shared bathroom (2 people max) - full size bed. In very nice apartment on central Park North 4th floor walk-up. same place as Chez chic #2, max capacity of the rooms 2 people). You will share the apt with me and my little family. Daily cleaning in common areas. Located one block from Subway 2/3,B/C on 110th street, Bus M1,2,3,4 at the corner, central park across the street.  Your room: full size bed (sleeps two), desk, Digital Tv/DVD, wifi internet, A/C, closet and desk. Sheets/Towels provided. Iron/air dryer provided. Separate Full bathroom shared with guestroom room #2. Access to the Kitchen from 8AM weekdays or anytime during the weekend and light cooking, access to kitchen at all times but no cooking in the evening.  The apartment: spacious newly renovated, hardwood floors,3BD, 2Bath apartment with Living room",https://a0.muscache.com/im/pictures/88569/eebe4eca_original.jpg?aki_policy=large,Harlem,40.7992047993616,-73.9536757454354,59,720,1690,316,164,92,9,9,10,9,9,9,1.43
2539,https://www.airbnb.com/rooms/2539,Clean & quiet apt home by the park,"Spacious, renovated, and clean apt home, one block to F train, 25 minutes to lower Manhatten",https://a0.muscache.com/im/pictures/3949d073-a02e-4ebc-aa9c-ac74f00eaa1f.jpg?aki_policy=large,Kensington,40.6474860816698,-73.9723695400795,39,299,999,365,7,97,10,10,10,10,10,10,0.26
2595,https://www.airbnb.com/rooms/2595,Skylit Midtown Castle,"- Spacious (500+ftÂ_), immaculate and nicely furnished & designed studio. - Tuck yourself into the ultra comfortable bed under the skylight. Fall in love with a myriad of bright lights in the city night sky.  - Single-sized bed/convertible floor mattress with luxury bedding (available upon request). - Gorgeous pyramid skylight with amazing diffused natural light, stunning architectural details, soaring high vaulted ceilings, exposed brick, wood burning fireplace, floor seating area with natural zafu cushions, modern style mixed with eclectic art & antique treasures, large full bath, newly renovated kitchen, air conditioning/heat, high speed WiFi Internet, and Apple TV. - Centrally located in the heart of Midtown Manhattan just a few blocks from all subway connections in the very desirable Midtown location a few minutes walk to Times Square, the Theater District, Bryant Park and Herald Square. - The Midtown Castle is a uniquely charming Dutch Colonial survivor from the 1890s.  - Laundry ",https://a0.muscache.com/im/pictures/7507b7f9-395d-4246-9d23-b371dd1bc088.jpg?aki_policy=large,Midtown,40.7536207265724,-73.983773811146,225,1995,,365,29,97,9,9,9,10,10,9,0.29
3330,https://www.airbnb.com/rooms/3330,++ Brooklyn Penthouse Guestroom ++,"Room Features: - clean, hardwood floors - 2 large windows with sliding glass doors providing access to private rooftop deck - clean private bathroom with tub - comfy, cozy, queen sized bed with fresh sheets - full length mirror - dresser - hangers for clothes  - fresh bath towels included with stay Apartment Features: - open living room with lots of natural light - basic cable/Netflix/ HBO Go on TV - high ceilings - dishwasher/microwave/gas stove - pots and pans for cooking / dishes & utensils  - 2 quiet, working roommates (lovely ladies in their early 30s)  Building: - 4 story - elevator - laundry facility in basement - 1 block from Montrose Ave stop on L train - friendly neighbors Ideal For: - someone on vacation looking for a great deal - someone in transition, moving, or exploring williamsburg - someone who wants hotel comfort, but not hotel rates - someone who is clean and will not smoke/do drugs in the apartment - someone who prefers to stay at least a week - couples welcome! no ",https://a0.muscache.com/im/pictures/41842659/5dd0ed5c_original.jpg?aki_policy=large,Williamsburg,40.7085577833315,-73.9423622764022,70,650,1900,279,27,97,10,10,10,10,10,10,0.27
3647,https://www.airbnb.com/rooms/3647,THE VILLAGE OF HARLEM....NEW YORK !,WELCOME TO OUR INTERNATIONAL URBAN COMMUNITY This Spacious 1 bedroom  is with Plenty of Windows with a View....... Sleeps.....Four Adults.....two in the Livingrm. with (2) Sofa-beds.  (Website hidden by Airbnb) two in the Bedrm.on a very Comfortable Queen Size Bed... A Complete Bathrm.....With Shower and Bathtub....... Fully Equipped with Linens & Towels........ Spacious Living Room......Flat ScreenTelevision.....DVD Player with Movies available for your viewing during your stay............................................................................. Dining Area.....for Morning Coffee or Tea..................................................... The Kitchen Area is Modern with Granite Counter Top... includes the use of a Coffee Maker...Microwave to Heat up a Carry Out/In Meal.... Not suited for a Gourmet Cook...or Top Chef......Sorry!!!! . This Flat is located in HISTORIC HARLEM.... near the Appollo Theater and The Museum Mile...on Fifth Avenue. Sylvia's World Famous Resturant...loca,https://a0.muscache.com/im/pictures/838341/9b3c66f3_original.jpg?aki_policy=large,Harlem,40.8090178490557,-73.9419020804194,150,,,365,0,,,,,,,,
3831,https://www.airbnb.com/rooms/3831,Cozy Entire Floor of Brownstone,"Greetings!      We own a double-duplex brownstone in Clinton Hill on Gates near Classon Avenue -  (7 blocks to C train, 5 blocks to G train, minutes to all), in which we host on the entire top floor of the upper duplex.  This is more of an efficiency set-up: it is the top floor on a two-family, double duplex brownstone, the top floor for our guests consists of a sizable bedroom, full bath and eat-in kitchen for your exclusive use.  Our family occupies the floors below.  You go through a common hallway and staircase, to get to the top floor (2 easy flights up from the main entrance), but not through any rooms, so it is a fairly private set-up. - Clinton Hill, Gates Avenue near Classon Ave. (1 mi. or less to Williamsburg, Park Slope, Prospect Heights, downtown, Ft. Greene, Bed-Stuy, Bushwick; 20 mins to Manhattan) - includes FiOS, heat (or A/C), hot water, and electricity all included - furnished with two twin beds (convertible into a king bed), one rollaway twin bed and one inflatable m",https://a0.muscache.com/im/pictures/e49999c2-9fd5-4ad5-b7cc-224deac989aa.jpg?aki_policy=large,Clinton Hill,40.685137705643,-73.9597574988109,89,575,2100,126,181,90,9,9,10,10,9,9,4.34
4989,https://www.airbnb.com/rooms/4989,Available! Perfect location! Entire apartment!,"Quiet, cool, quirky, 1 bedroom apt. in Hell's Kitchen (also called Clinton, in Midtown West). Full size bed in bedroom, fold down brand new sofa in living room, separate small sit down kitchen. Toilet is off of bedroom, not with the shower and bathroom sink, which are in another part of apartment. Building is old but apartment itself is clean with lots of light in living room. Close to everything! Subways/Broadway/Times Square/restaurants/grocery store/laundry/etc.  ALSO: Apartment is on the 5th floor of a walk up building, NO ELEVATOR. Message me first to confirm availability and if you have any questions please feel free to ask - thanks!",https://a0.muscache.com/im/pictures/ebafaaa6-d138-428e-9580-8af304325d64.jpg?aki_policy=large,Hell's Kitchen,40.7626004729708,-73.9930449933623,150,,,17,26,88,9,9,10,10,10,9,0.26
5054,https://www.airbnb.com/rooms/5054,Midtown West,"I'm in a perfect location of Manhattan, being in Midtown West or 'Hell's Kitchen'.  My 3rd floor walkup railroad flat 1 bedroom apartment is close to Central Park, Columbus Circle, and almost every subway line there is.  The apartment is walkable to Time Square, the theater district, and Rockefeller Center, let alone, the great neighborhood of Hell's Kitchen and great restaurants on Ninth Ave.  I rent to only one or two people and you would have the whole place to yourself, while I move out.  I am only able to rent for six nights or less.     You get all the clean linens and towels you need.  You have access to my high speed modem, or free Wi-Fi, but would need your own laptop for computer/internet access.  Apartment also has 2 tvs, 3 air conditioners, 8 windows, full size bed, and large couch.  It's perfect and rent-able for only one or two people, either being a couple or friends, because one can take the bed, and another the room with couch, where the door closes.  It's nothing fanc",https://a0.muscache.com/im/pictures/15305/3a65cf34_original.jpg?aki_policy=large,Hell's Kitchen,40.7655085919215,-73.9863128019954,150,,,2,58,93,9,8,10,10,10,9,0.53
5121,https://www.airbnb.com/rooms/5121,BlissArtsSpace!,"HELLO EVERYONE AND THANKS FOR VISITING BLISS ART SPACE! Thank you all for your support. I've traveled a lot in the last year few years, to the  U.K. Germany, Italy and France! Loved Paris and Calabria! Highly recommend all these places.  Things are a little busy this past month, so, please forgive me if I don't reply quickly. I am also in a moment where I don't wish to be in front of the computer 24/7. But I will answer as soon as I can : )  One room available for rent in a 2 bedroom apt in Bklyn. We share a common space with kitchen. I am an artist(painter, filmmaker) and curator who is working in the film industry while I'm building my art event production businesses. Price above is for one person, it's $80 a night for couples short term. Monthly rates available.  At the moment I AM ONLY TAKING BOOKINGS OF AT LEAST ONE OR ONE AND A HALF MONTHS. : )   If you have a special circumstance feel free to message me to talk it over.   Perfect for students, interns or artists on working proje",https://a0.muscache.com/im/pictures/53b98235-949e-4017-b8f7-9d1096f2540a.jpg?aki_policy=large,Bedford-Stuyvesant,40.6868819648896,-73.9559570861927,60,,,365,51,90,8,8,10,10,9,9,0.48
5136,https://www.airbnb.com/rooms/5136,Spacious Brooklyn Duplex + Garden,"Sleeps 4 + baby comfortably with 6 people max (king size bed, twin bed, plus twin air mattress in baby room, queen airbed available for living room. We are located just steps from 5th Ave. restaurants, bars, coffeeshops, and shopping + 3 blocks from the R train, 15 min walk to Prospect Park. Lower Manhattan is  a 15-20 min subway ride away.  Midtown/theater district 30-40 min subway Note:  This is our home, we live here and leave the condo clean.  Our belongings will remain in our house, and stowed away in closets / on shelves.   We have a cat, and would like to leave her in the apt for your rental, she is quiet, cute,  and keeps to herself.",https://a0.muscache.com/im/pictures/25405769/42d06aa2_original.jpg?aki_policy=large,Greenwood Heights,40.6611965628187,-73.9942267741309,253,,,358,1,97,10,10,10,10,8,10,0.02
