type,name,website,address,aggregated_description,latitude,longitude
park,Brooklyn Botanic Garden,http://bbg.org/, 990 Washington Avenue NYC,"	Brooklyn Botanic Gardens has incredible architecture, rare plants, flowers, and meticulously cared for gardens. World famous Cherry Blossom Esplanade, Japanese and Rose Gardens are located at this ...Œæread more	Brooklyn Botanic Garden (BBG) is a botanical garden in the borough of Brooklyn in New York City. Founded in 1910, and located in the Prospect Park neighborhood, the 52-acre (21 ha) garden includes ...Œæread more	In spring, the cherry blossoms are truly the main attraction. You get a nice view from above from the terrace, then you can go frolic in the grass between the rows of cherry trees. There are also s...Œæread more",40.66627669,-73.96164621
park,Central Park,http://www.centralparknyc.org/,Central Park NYC,"	Located in Manhattan, Central Park is the nation's first major urban public space, attracting 25 million visitors every year. Covering 843 acres of land, this magnificent park was designated as a N...Œæread more	Central Park is an urban park in middle-upper Manhattan, within New York City. Central Park is the most visited urban park in the United States, with 40 million visitors in 2013. It is also one of ...Œæread more	Central Park is a National Historic Landmark and considered the most visited park in the United States, and for a reason! It is absolutely breathtaking and you can walk around and discover things a...Œæread more",40.78384615,-73.96457067
park,Prospect Park,http://www.prospectpark.org/, Brooklyn NYC,"	 	Five minutes from my place a 585 Acre (2.37 km) Urban Park. Main attractions of the park include the 90acre Long Meadow.  Prospect Park Zoo a large nature conservatory, the Boathouse housing a visi...Œæread more	Prospect Park was designed by Frederick Law Olmsted and Calvert Vaux after their completion of Manhattan's Central Park. Main attractions of the park include the 90-acre (36 ha) Long Meadow; the Pi...Œæread more",40.6501038,-73.9495823
park,Friends of the High Line,http://www.thehighline.org/, 529 West 20th St # 8W NYC,"	 	Once upon a time (like 1800's time) there was an elevated railroad line running along Manhattan's west side. The RR eventually turned into what was known as ""the West Side Highway' but fell into di...Œæread more	The High Line is an elevated abandoned rail track that has been turned into a stunning and innovative city park -- a must see. It starts around 31st St., just past 10th Ave., and stretches all the ...Œæread more",40.746594,-74.006788
park,State of New York- East River State Park,http://nysparks.com/parks/155/details.aspx, 90 Kent Avenue NYC,"	East River State Park is a seven-acre waterfront park located along the East River in the Williamsburg neighborhood of Brooklyn. It offers visitors a stunning view of the Manhattan skyline, a delig...Œæread more	This park runs along the east side of Manhattan all the way around the tip of the island and up the west side. Take 10th street from Avenue D across the FDR and head south along the East River.	Turn left when you leave the building, cross Ave D and continue to the bridge that goes over the FDR Highway.  You'll find yourself at the park.  There's a track and workout area right at 6th stree...Œæread more",40.721485,-73.962117
park,Tompkins Square Park,https://www.nycgovparks.org/parks/tompkins-square-park, 500 E 9th St NYC,"	 	At first glance, the area around Tompkins Square Park seems like the quintessential New York City neighborhood, with its lively restaurant scene and trendy shops. But itäó»s was not always this way. ...Œæread more	Check out the dog park, read under the historic Hare Krishna tree. Beneath this tree, in 1966, the first recorded outdoor chanting session of the Hare Krishna mantra outside India. There are also m...Œæread more",40.66595312,-73.97984806
park,Battery Park,, 75 Battery Place NYC,"	Good place to start exploring the south side of Manhattan, the Financial District, Wall Street, and the likes. Came on winter so the trees are dry. Good view overlooking the ocean, on clear weather...Œæread more	 	This is right off the Ferry on the Manhattan side. It's amazing Park system along the water - you can ride a bike (Amazing dedicated Bike Paths)  or walk for Miles - there are all kinds of activiti...Œæread more",40.7072125,-74.0171785
park,McCarren Park,http://www.nycgovparks.org/facilities/recreationcenters/B058, 776 Lorimer Street NYC,"	A park equally valued and cherished in Greenpoint and Williamsburg, McCarren Park is the site of endless games of kickball, soccer, baseball, bocce, handball, basketball, football, and tennis, not ...Œæread more	Humungeous park containing everything from nature (trees, grass, benches, walkways) to sports (running track, soccer goals, exercise stations, softball fields, tennis courts, swimming pool, paddleb...Œæread more	Beautiful green space to people watch, have a picnic, read a book, or run on the track.  Just steps from restaurants, bars, ice cream shops, and thrift stores in Williamsburg and Greenpoint. Loca...Œæread more",40.72012425,-73.94986347
park,Washington Square Park,https://www.nycgovparks.org/parks/washington-square-park, 5 Avenue NYC,"	Washington Square Park is a public park in the Greenwich Village neighborhood of Lower Manhattan, New York City. One of the best known of New York City's 1,900 public parks, it is a landmark as wel...Œæread more	Washington Square has long been a hub for politics and culture in New York City.The Park is an open space, dominated by the Washington Square Arch at the northern gateway to the park, with a trad...Œæread more	If you have time to explore only one neighborhood, this is the one to pick. Start off in Washington Square Park, the physical and spiritual heart of Greenwich Village. In the early 1800s the park w...Œæread more",40.58660116,-73.98561243
park,Riverbank State Park,http://www.nysparks.state.ny.us/parks/93/details.aspx, 679 Riverside Drive NYC,"	With its entrance at 145th Street and Riversdie Drive, Riverbank State Park boasts of spectacular promenade views of the Hudson River, the Palisades and the George Washington Bridge. There is a 400...Œæread more	This is a very big and mostly free sport complex and park built on an artificial island with great views of the Hudson River. 2 pools, 1 skating ring, track and field loop, football field, 5 tennis...Œæread more	Swimming Pools, basketball courts, softball field, futbol/soccer field, running track, ice skating rink,  picnic areas and great views of the Hudson River looking over to New Jersey. Great at sunset.",40.827319,-73.955326
