type,name,website,address,aggregated_description,updated name,latitude,longitude
sightseeing,Times Square,http://timessquarenyc.org/, 1560 Broadway,"	As the new year approaches, New York City gets ready for its annual New Year's Eve in Times Square celebration. The famous ball drop atop One Times Square has been a tradition dating back to 1906. ...Â read more	Times Square is a major commercial intersection and neighborhood in Midtown Manhattan, New York City, at the junction of Broadway and Seventh Avenue, and stretching from West 42nd to West 47th Stre...Â read more	Known colloquially as ""The Crossroads of the World"" and ""The Great White Way,"" Times Square NYC is one of the most popular commercial intersections in the world! Located in central Manhattan at the...Â read more",Times Square NYC,40.7568162,-73.98603132
sightseeing,Empire State Building,, 60 E 42nd St # 48,"	Iconic NYC tower.  It stood as the world's tallest building for nearly 40 years, from its completion in early 1931 (102-story skyscraper). Observation deck offers incredible view of the city, both ...Â read more	Named as one of the ""Seven Wonders of the Modern World,"" by the American Society of Civil Engineers. The Empire State Building is said to be the fifth tallest skyscraper in the United States and th...Â read more	An absolute must-do, box-ticking and SO worth seeing experience - the observatory at the Empire State Building remains the number one attraction in New York for good reason. Book online or go early!",Empire State Building NYC,40.7484284,-73.98565462
sightseeing,Brooklyn Bridge,http://www.nyc.gov/html/dot/html/infrastructure/brooklyn-bridge.shtml, Brooklyn Bridge,"	 	Walking across the Brooklyn Bridge is my absolute favorite attraction in NYC, and its FREE. Bring a camera, you will need it. Walk from Bk to Manhattan, its the best way. At the base of the bridge,...Â read more	One of New York's noblest and most recognized landmarks, the Brooklyn Bridge stretches over the East River, connecting Manhattan and Brooklyn. A walk across its promenadeâ€”a boardwalk elevated above...Â read more",Brooklyn Bridge NYC,40.7010428,-73.9903534
sightseeing,Union Square,,,"	Union Square Greenmarket is one of the very best places to shop for fresh produce in NYC. Local farmers sell fresh warm breads, honeys, vegetables and fruits, flowers and homemade jams and jellies....Â read more	Fun neighborhood with famous farmer's market (Monday, Wednesday, Friday & Saturday, year-round). Playground for kids, famous Strand Bookstore. Lots of great eats. Easy walk to the Flatiron building...Â read more	Union Square Greenmarket is one of the very best places to shop for fresh produce in NYC. Local farmers sell fresh warm breads, honeys, vegetables and fruits, flowers and homemade jams and jellies....Â read more",Union Square NYC,40.735863,-73.991084
sightseeing,Theater District,,,"	Times Square is a major commercial intersection and neighborhood in Midtown Manhattan, New York City, at the junction of Broadway and Seventh Avenue, and stretching from West 42nd to West 47th Stre...Â read more	Is an area in Midtown Manhattan where most Broadway theaters are located, as well as many other theaters, movie theaters, restaurants, hotels, and other places of entertainment. It extends from Wes...Â read more	Times Square is 42nd st and Broadway. Walk 0.5mi along broadway to get there. If you want to see broadway theater show, for cheapest tix, go to the box office before the show for rush tix.",Theater District NYC,40.8100895,-73.94999117
sightseeing,World Trade Center,,,"	Travelers looking to experience life on the top of the world need look no further than the One World Trade Center's One World Observatory. The tallest building in the Western Hemisphere, this lower...Â read more	World Trade Center is the tallest building in the Western Hemisphere, and the sixth-tallest in the world. The construction of the new building is part of an effort to memorialize and rebuild follow...Â read more	Our gift to you!! Take advantage and share w/ friends and family, receive discount rates, follow instructions to the World Trade Center Tickets below.Step 1: go to the One World Observatory websit...Â read more",World Trade Center NYC,40.7118914,-74.0126129
sightseeing,Columbus Cir,, Columbus Cir,"	Columbus Circle has all your high end shops with stunning views and Michelin Star restaurants. If your pockets are deep, make a reservation at Per Se upstairs, or head down to Landmark for lunch or...Â read more	The Shops at Columbus Circle is an urban shopping mall in the Time Warner Center in Manhattan, New York City.  It is located at Columbus Circle, next to the southwestern corner of Central Park.	The Shops at Columbus Circle is an urban shopping mall in the Time Warner Center in Manhattan, New York City â€” a complex of skyscrapers with interior shopping stores, restaurants and bars. ",Columbus Cir NYC,40.76808045,-73.98189745
sightseeing,SoHo,,,"	SoHo, sometimes written Soho,is a neighborhood in Lower Manhattan, New York City, which in recent history came to the public's attention for being the location of many artists' lofts and art galler...Â read more	If you're looking for perfect shopping destination in NYC, make sure to stroll around soho where you'll find everything from designer clothing to H&M, and bloomingdales. The main strip is between H...Â read more	While SoHo has historically been known as an artist enclave with a variety of lofts and galleries, it's transformed over the years to be a hotspot for shopping. Here you'll find your favorite chain...Â read more",SoHo NYC,40.72288,-73.9987505
sightseeing,Rockefeller Center,http://www.rockefellercenter.com/, 45 Rockefeller Plaza,"	The famous Rockefeller Center in Midtown Manhattan is an Art Deco NYC landmark. Spanning 22 acres and featuring 19 commercial buildings in New York, Rockefeller Center is one of the most popular at...Â read more	Rockefeller Center is known far and wide as one of New York City's most iconic attractionsâ€”it's where that famous Christmas tree is illuminated, where Saturday Night Live and the Today show are tap...Â read more	Rockefeller Center is a large complex consisting of 19 high-rise commercial buildings covering 22 acres (89,000 m2) between 48th and 51st Streets in New York City. Commissioned by the Rockefeller f...Â read more",Rockefeller Center NYC,40.75887825,-73.97906208
sightseeing,Grand Army Plaza,, Grand Army Plaza,"	Open every Saturday between the entry to Prospect Park and the Grand Army Plaza archway, this open air farmer's market has fresh seasonal produce.	The famous archway is the meeting point of several major roads and the marker for the Brooklyn Public Library (main branch), Prospect Park, the Brooklyn Museum, and the lovely Brooklyn Botanical Ga...Â read more	The northern, main entrance to Prospect Park, and on Saturdays, location of the Grand Army Plaza Green Market for great organic, local food shopping. ",Grand Army Plaza NYC,40.6741411,-73.97013936
sightseeing,Williamsburg Bridge,http://www.nyc.gov/html/dot/html/infrastructure/williamsburg-bridge.shtml,,"	Not as famous or popular as the Brooklyn Bridge, but it's iconic nonetheless and starting to appear in a lot of shows, commercials, movies etc. Depending on the side street near the bridge, you can...Â read more	Walk or ride your bike (you can get a citi bike at the Brooklyn side of the bridge) across the bridge and enjoy the views. You will meet lots of other people, crossing the river, taking photographs...Â read more	The views on the bridge are beautiful at any time of day, but sunset is especially magical. There is a citibike rental area right in front of the bridge opening if you want a good workout, and a pe...Â read more",Williamsburg Bridge NYC,40.71358065,-73.97213629
sightseeing,Brooklyn Heights Promenade,, Brooklyn Heights Promenade,"	A great place to cool off on a very hot summer day!  Grab an ice cream cone and a seat on one of the many benches that'll give you a ""front-row"" VIP view of the Statute of Liberty and of lower Mana...Â read more	The Brooklyn Promenade is a a beautiful boardwalk along the riverfront. You get a wonderful view of downtown Manhattan from the promenade - really excellent for pictures. You can walk across the Br...Â read more	The most upscale neighborhood in Brooklyn is just a 15 min ride on the B54 bus which stops across from your apt door. (Accepts subway tickets) Head to Brooklyn Heights Promenade for a walk by the w...Â read more",Brooklyn Heights Promenade NYC,40.6997365,-73.9958625
sightseeing,Williamsburg,,,"	When artists started getting priced out of Manhattan, may of them went to Williamsburg which has lent to it's reputation of being a hipster haven. But as history would have it, Williamsburg has got...Â read more	Years ago, no one wanted to be in Williamsburg...but now it is a bustling scene with clubs, bars, millenial energy, huge flea market...and ferry to Wall Street.During the day, you can get there f...Â read more	If you are into bars, vintage stores, up and coming artists, hip restaurants, cool people, secret bars, quirky fashion, you must visit Williamsburg. This is where all the artists live. Perfect for ...Â read more",Williamsburg NYC,40.714622,-73.95345
